title,description,artist,country,culture,teaserText,url,image,regularImage,largeImage,date,medium,accessionNumber,galleryInformation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart or 2 Wheeler, no. 4161","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1892Accession Number: 23.112.635 ",/art/collection/search/378710?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=166,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP882158.jpg,dp/web-additional/DP882158.jpg,dp/web-large/DP882158.jpg,20th Century,Illustration,25.02.35,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart or 2 Wheeler, no. 4162","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1892Accession Number: 23.112.636 ",/art/collection/search/378711?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=167,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP881271.jpg,dp/web-additional/DP881271.jpg,dp/web-large/DP881271.jpg,20th Century,Illustration,25.02.36,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart or 2 Wheeler, no. 4163","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1892Accession Number: 23.112.637 ",/art/collection/search/378712?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=168,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP882146.jpg,dp/web-additional/DP882146.jpg,dp/web-large/DP882146.jpg,20th Century,Illustration,25.02.37,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart or 2 Wheeler, no. 4169","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1892Accession Number: 23.112.639 ",/art/collection/search/378714?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=169,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP881267.jpg,dp/web-additional/DP881267.jpg,dp/web-large/DP881267.jpg,20th Century,Illustration,25.02.39,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart or 2 Wheeler, no. 4173","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1892Accession Number: 23.112.640 ",/art/collection/search/378715?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=170,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP881272.jpg,dp/web-additional/DP881272.jpg,dp/web-large/DP881272.jpg,20th Century,,25.02.40,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart or 2 Wheeler, no. 4175","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1892Accession Number: 23.112.641 ",/art/collection/search/378716?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=171,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP881273.jpg,dp/web-additional/DP881273.jpg,dp/web-large/DP881273.jpg,20th Century,Illustration,25.02.41,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart or 2 Wheeler, no. 4193","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1892Accession Number: 23.112.644 ",/art/collection/search/378719?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=172,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP882485.jpg,dp/web-additional/DP882485.jpg,dp/web-large/DP882485.jpg,20th Century,Illustration,25.02.44,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart Phaeton, no. 4002","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1887Accession Number: 23.112.606 ",/art/collection/search/378681?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=173,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP882483.jpg,dp/web-additional/DP882483.jpg,dp/web-large/DP882483.jpg,20th Century,Illustration,25.02.06,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart Phaeton, no. 4195","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1892Accession Number: 23.112.645 ",/art/collection/search/378720?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=174,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP882165.jpg,dp/web-additional/DP882165.jpg,dp/web-large/DP882165.jpg,20th Century,Illustration,25.02.45,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart Phaeton, no. 669, from Le Guide du Carrossier","Brice Thomas (French, active Paris, from 1830)",Brice Thomas,unknown,unknown," Brice Thomas (French, active Paris, from 1830)   Date: ca. 1870Accession Number: 23.112.1810 ",/art/collection/search/379876?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=175,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP878688.jpg,dp/web-additional/DP878688.jpg,dp/web-large/DP878688.jpg,20th Century,Lithograph,233.14.30,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart, no. 3993","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1887Accession Number: 23.112.601 ",/art/collection/search/378676?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=176,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP881338.jpg,dp/web-additional/DP881338.jpg,dp/web-large/DP881338.jpg,20th Century,Illustration,25.02.01,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart, no. 3995","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1887Accession Number: 23.112.602 ",/art/collection/search/378677?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=177,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP881339.jpg,dp/web-additional/DP881339.jpg,dp/web-large/DP881339.jpg,20th Century,Illustration,25.02.02,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dog Cart, no. 437","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1850–74Accession Number: 23.112.1891 ",/art/collection/search/379957?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=178,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP878250.jpg,dp/web-additional/DP878250.jpg,dp/web-large/DP878250.jpg,20th Century,Illustration,233.15.51,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Dos-a-Dos Dog Cart, no. 363","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1850–74Accession Number: 23.112.1889 ",/art/collection/search/379955?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=179,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP878245.jpg,dp/web-additional/DP878245.jpg,dp/web-large/DP878245.jpg,20th Century,Illustration,233.15.49,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Design for Four Wheel Dog Cart, no. 3928","Brewster &   Co. (American, New York)",Brewster & Co.,unknown,unknown," Brewster &   Co. (American, New York)   Date: 1884Accession Number: 23.112.596 ",/art/collection/search/378671?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=180,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP882482.jpg,dp/web-additional/DP882482.jpg,dp/web-large/DP882482.jpg,20th Century,Illustration,25.01.56,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Design for Two Spoons and a Dog Whistle,"Heinrich Aldegrever (German, Paderborn ca. 1502–1555/1561 Soest)",Heinrich Aldegrever,unknown,unknown," Heinrich Aldegrever (German, Paderborn ca. 1502–1555/1561 Soest)   Date: 1539Accession Number: 20.10.1 ",/art/collection/search/338458?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=181,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP836771.jpg,dp/web-additional/DP836771.jpg,dp/web-large/DP836771.jpg,16th Century,Engraving,20.10.01,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Diana and Endymion, seated on a chariot led by horses at left, a sleeping man on the ground at right, a dog at left, and a putto holding flowers at center","Paolo Toschi (Italian, Parma 1788–1854 Parma)",Paolo Toschi,unknown,unknown," Paolo Toschi (Italian, Parma 1788–1854 Parma)   Date: ca. 1846Accession Number: 45.78.92 ",/art/collection/search/767041?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=182,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Engraving,46.19.32,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Diana reclining with her dog,"Odoardo Fialetti (Italian, Bologna 1573–1637/38 Venice)",Odoardo Fialetti,unknown,unknown," Odoardo Fialetti (Italian, Bologna 1573–1637/38 Venice)   Date: 1590–1627Accession Number: 1977.623.1 ",/art/collection/search/830764?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=183,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,16th Century,Etching,1987.23.01,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,Great Britain,"British, Staffordshire", Date:  ca. 1745Accession Number: 45.12.23 ,/art/collection/search/199528?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=184,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-1174-027.jpg,es/web-additional/DP-1174-027.jpg,es/web-large/DP-1174-027.jpg,18th Century,Stoneware,45.12.23,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,China,Chinese, Date: late 19th–early 20th centuryAccession Number: 1975.1.1424 ,/art/collection/search/460571?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=185,https://images.metmuseum.org/CRDImages/rl/mobile-large/1424-1.jpg,rl/web-additional/1424-1.jpg,rl/web-large/1424-1.jpg,20th Century,Copper alloy.,1975.24.44,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,China,China, Date: 17th centuryAccession Number: 44.82 ,/art/collection/search/42900?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=186,https://images.metmuseum.org/CRDImages/as/mobile-large/135937.jpg,as/web-additional/135937.jpg,as/web-large/135937.jpg,18th Century,Jade,45.22.00,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,China,"Chinese, for Continental European market", Date: 1750–70Accession Number: 51.86.341 ,/art/collection/search/201266?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=187,https://images.metmuseum.org/CRDImages/es/mobile-large/151417.jpg,es/web-additional/151417.jpg,es/web-large/151417.jpg,18th Century,Porcelain,52.31.41,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,"Tomotada (Japanese, active late 18th–early 19th century)",Tomotada,Japan,Japan," Tomotada (Japanese, active late 18th–early 19th century)   Date: late 18th century–early 19th centuryAccession Number: 10.211.1106 ",/art/collection/search/60290?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=188,https://images.metmuseum.org/CRDImages/as/mobile-large/10_211_1106_O1_sf.jpg,as/web-additional/10_211_1106_O1_sf.jpg,as/web-large/10_211_1106_O1_sf.jpg,20th Century,Ivory,103.52.46,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,China,China, Date: 5th–6th centuryAccession Number: 1994.605.36 ,/art/collection/search/44337?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=189,https://images.metmuseum.org/CRDImages/as/mobile-large/1994_605_36_L35759.jpg,as/web-additional/1994_605_36_L35759.jpg,as/web-large/1994_605_36_L35759.jpg,5th–6th century,Earthenware,2004.05.36,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,"John Singer Sargent (American, Florence 1856–1925 London)",John Singer Sargent,USA,American," John Singer Sargent (American, Florence 1856–1925 London)   Date: ca. 1880Accession Number: 50.130.142a ",/art/collection/search/12335?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=190,https://images.metmuseum.org/CRDImages/ad/mobile-large/ap50.130.142a.jpg,ad/web-additional/ap50.130.142a.jpg,ad/web-large/ap50.130.142a.jpg,20th Century,Illustration,50.130.142a,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
A Dog,"Cornelis Saftleven (Dutch, Gorinchem 1607–1681 Rotterdam)",Cornelis Saftleven,unknown,unknown," Cornelis Saftleven (Dutch, Gorinchem 1607–1681 Rotterdam)   Date: 17th centuryAccession Number: 2003.429 ",/art/collection/search/363451?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=191,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP800679.jpg,dp/web-additional/DP800679.jpg,dp/web-large/DP800679.jpg,18th Century,Illustration,02.10.09,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,"Leonard Baskin (American, New Brunswick, New Jersey 1922–2000 North ton, Massachusetts)",Leonard Baskin,unknown,unknown," Leonard Baskin (American, New Brunswick, New Jersey 1922–2000 North ton, Massachusetts)   Date: 1954Accession Number: 2002.397.15 ",/art/collection/search/358508?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=192,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Linoleum cut,2008.37.15,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,Great Britain,"British, Staffordshire", Date: ca. 1750Accession Number: 34.165.105 ,/art/collection/search/197575?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=193,https://images.metmuseum.org/CRDImages/es/mobile-large/99929.jpg,es/web-additional/99929.jpg,es/web-large/99929.jpg,18th Century,Stoneware,36.46.45,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,Japan,Japan, Date: late 17th centuryAccession Number: 1975.268.529 ,/art/collection/search/57156?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=194,https://images.metmuseum.org/CRDImages/as/mobile-large/DP229721.jpg,as/web-additional/DP229721.jpg,as/web-large/DP229721.jpg,late18th Century,Porcelain,1.975.268.529,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,Great Britain,"British, possibly Lambeth", Date: early 17th centuryAccession Number: 45.12.7 ,/art/collection/search/199512?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=195,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-23634-077.jpg,es/web-additional/DP-23634-077.jpg,es/web-large/DP-23634-077.jpg,18th Century,Earthenware,45.12.07,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,China,China, Date: 7th–8th centuryAccession Number: 29.18 ,/art/collection/search/50227?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=196,https://images.metmuseum.org/CRDImages/as/mobile-large/29_18_O1.jpg,as/web-additional/29_18_O1.jpg,as/web-large/29_18_O1.jpg,7th–8th century,Earthenware,29.18.00,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,"In the style of Chelsea Porcelain Manufactory (British, 1745–1784, Red Anchor Period, ca. 1753–58)",Chelsea Porcelain Manufactory,Great Britain,"British, Chelsea"," In the style of Chelsea Porcelain Manufactory (British, 1745–1784, Red Anchor Period, ca. 1753–58)   Date: late 19th–early 20th centuryAccession Number: 64.101.527a, b ",/art/collection/search/203393?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=197,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-247-004.jpg,es/web-additional/DP-247-004.jpg,es/web-large/DP-247-004.jpg,20th Century,Porcelain,"64.101.527a, b",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,Indonesia,"Indonesia (Java, Lumajang)", Date: 500 BCE–300 CEAccession Number: 2001.433.625 ,/art/collection/search/51618?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=198,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,500 BCE–300 CE,Ceramic,2.001.433.625,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,Attributed to Wilhelm Schimmel (probably 1817–1890),Wilhelm Schimmel,USA,American, Attributed to Wilhelm Schimmel (probably 1817–1890)   Date: 1865–90Accession Number: 34.100.174 ,/art/collection/search/12538?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=199,https://images.metmuseum.org/CRDImages/ad/mobile-large/97324.jpg,ad/web-additional/97324.jpg,ad/web-large/97324.jpg,20th Century,White pine,35.42.54,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM0ODAzLDQwLjc4MDYxMzA4QGxtQDY4MzIyMTcyOTI0Mw==' target='_blank'>Gallery 774</a>,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,China,China, Date: 7th–9th centuryAccession Number: 11.7.3 ,/art/collection/search/52576?&searchField=Title&sortBy=Title&ft=dog&offset=100&rpp=100&  pos=200,https://images.metmuseum.org/CRDImages/as/mobile-large/11_7_3.JPG,as/web-additional/11_7_3.JPG,as/web-large/11_7_3.JPG,7th–9th century,Earthenware,11.07.03,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjU0NjI1LDQwLjc3OTgxMjYzQGxtQDQwMTU3Njc0NDY1NA==' target='_blank'>Gallery 207</a>,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,China,China, Date: 7th–9th centuryAccession Number: 11.7.4 ,/art/collection/search/52577?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=201,https://images.metmuseum.org/CRDImages/as/mobile-large/11_7_4.JPG,as/web-additional/11_7_4.JPG,as/web-large/11_7_4.JPG,7th–9th century,Earthenware,11.07.04,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjU0NjI1LDQwLjc3OTgxMjYzQGxtQDQwMTU3Njc0NDY1NA==' target='_blank'>Gallery 207</a>,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,Italy,"Italian, Naples", Date: second half 18th centuryAccession Number: 64.164.111 ,/art/collection/search/204212?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=202,https://images.metmuseum.org/CRDImages/es/mobile-large/LC-64_164_110-001.jpg,es/web-additional/LC-64_164_110-001.jpg,es/web-large/LC-64_164_110-001.jpg,second half 20th Century,Polychromed terracotta,66.45.51,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,Italy,"Italian, Naples", Date: second half 18th centuryAccession Number: 64.164.110 ,/art/collection/search/204211?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=203,https://images.metmuseum.org/CRDImages/es/mobile-large/LC-64_164_110-001.jpg,es/web-additional/LC-64_164_110-001.jpg,es/web-large/LC-64_164_110-001.jpg,second half 20th Century,Polychromed terracotta,66.45.50,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,Italy,"Italian, Naples", Date: second half 18th centuryAccession Number: 64.164.112 ,/art/collection/search/204213?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=204,https://images.metmuseum.org/CRDImages/es/mobile-large/LC-64_164_112-001.jpg,es/web-additional/LC-64_164_112-001.jpg,es/web-large/LC-64_164_112-001.jpg,second half 20th Century,Polychromed terracotta,66.45.52,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,unknown,unknown, Date: ca. 1850–1700 B.C.Accession Number: 08.200.34 ,/art/collection/search/546785?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=205,https://images.metmuseum.org/CRDImages/eg/mobile-large/08.200.34.jpg,eg/web-additional/08.200.34.jpg,eg/web-large/08.200.34.jpg,20th Century,Faience,11.20.34,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjAxNjgyLDQwLjc4MDE0MTAxQGxtQDI3MDk1ODk3NTMyNQ==' target='_blank'>Gallery 113</a>,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,unknown,unknown,Assyria,Assyrian, Date: ca. 9th–8th century BCEAccession Number: 54.117.23 ,/art/collection/search/323812?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=206,https://images.metmuseum.org/CRDImages/an/mobile-large/DP-16190-016.jpg,an/web-additional/DP-16190-016.jpg,an/web-large/DP-16190-016.jpg,ca. 9th–8th century BCE,Bronze,55.57.23,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog,Accession Number: SL.1.2017.28.2,unknown,China,China, Accession Number: SL.1.2017.28.2 ,/art/collection/search/700572?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=207,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-SL_1_2017_28_2_001.jpg,as/web-additional/LC-SL_1_2017_28_2_001.jpg,as/web-large/LC-SL_1_2017_28_2_001.jpg,unknown,Earthenware,SL.1.2017.28.2,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The Dog &   The Devil,"Thomas Rowlandson (British, London 1757–1827 London)",Thomas Rowlandson,unknown,unknown," Thomas Rowlandson (British, London 1757–1827 London)   Date: November 21, 1807Accession Number: 59.533.1006 ",/art/collection/search/742832?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=208,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP873832.jpg,dp/web-additional/DP873832.jpg,dp/web-large/DP873832.jpg,18th Century 20th Century,Etching,600.31.06,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The Dog &   The Devil,"Thomas Rowlandson (British, London 1757–1827 London)",Thomas Rowlandson,unknown,unknown," Thomas Rowlandson (British, London 1757–1827 London)   Date: November 21, 1807Accession Number: 59.533.1980 ",/art/collection/search/811974?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=209,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP881824.jpg,dp/web-additional/DP881824.jpg,dp/web-large/DP881824.jpg,18th Century 20th Century,Etching,600.47.20,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog (?) amulet,unknown,unknown,unknown,unknown, Date: ca. 2110–2030 B.C.Accession Number: 65.46.5 ,/art/collection/search/545856?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=210,https://images.metmuseum.org/CRDImages/eg/mobile-large/65-46-5.jpg,eg/web-additional/65-46-5.jpg,eg/web-large/65-46-5.jpg,ca. 2110–2030 B.C.,Ivory,65.46.05,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog (A Foxhound Viewed from Behind),"George Stubbs (British, Liverpool 1724–1806 London)",George Stubbs,unknown,unknown," George Stubbs (British, Liverpool 1724–1806 London)   Date: May 1, 1788Accession Number: 49.49.6 ",/art/collection/search/343637?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=211,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP835554.jpg,dp/web-additional/DP835554.jpg,dp/web-large/DP835554.jpg,18th Century,Etching,49.49.06,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Dog (from McGuire Scrapbook),"Francis William Edmonds (American, Hudson, New York 1806–1863 Bronxville, New York)",Francis William Edmonds,USA,American," Francis William Edmonds (American, Hudson, New York 1806–1863 Bronxville, New York)   Accession Number: 26.216.18 ",/art/collection/search/10840?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=212,https://images.metmuseum.org/CRDImages/ad/mobile-large/ap26.216.18.jpg,ad/web-additional/ap26.216.18.jpg,ad/web-large/ap26.216.18.jpg,unknown,Illustration,29.36.18,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Dog (Whippet), bakery card from the Speed Pictures   (D39-8), issued by Bell Bakeries, Inc.","Issued by Bell Bakeries, Inc.","Bell Bakeries, Inc.",unknown,unknown," Issued by Bell Bakeries, Inc.  Date: 1940sAccession Number: 63.350.307.39.8.14 ",/art/collection/search/684076?&searchField=Title&sortBy=Title&ft=dog&offset=200&rpp=100&  pos=213,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP856110.jpg,dp/web-additional/DP856110.jpg,dp/web-large/DP856110.jpg,20th Century,Lithograph,63.350.307.39.8.14,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
